ArrayValueGetType	c	DATAFILE	0x3A0014ADB172A3C5	integer	arrayData:any,arrayIndex:integer	DataarrayGetType
ArrayValueGetVector3	c	DATAFILE	0x8D2064E5B64A628A	vector3	arrayData:any,arrayIndex:integer	DataarrayGetVector
Asin	c	MISC	0xC843060B5765DCE7	number	value:number	
AssignPlayerToPed	c	PED	0xE952D6431689AD9A		ped:Ped,targetPed:Ped	ClonePedToTarget
AssistedMovementCloseRoute	c	PLAYER	0xAEBF081FFC0A0E5E			
AssistedMovementFlushRoute	c	PLAYER	0x8621390F0CDCFE1F			
AssistedMovementIsRouteLoaded	c	TASK	0x60F9A4393A21F741	boolean	route:string	
AssistedMovementOverrideLoadDistanceThisFrame	c	TASK	0x13945951E16EF912		dist:number	
AssistedMovementRemoveRoute	c	TASK	0x3548536485DD792B		route:string	
AssistedMovementRequestRoute	c	TASK	0x817268968605947A		route:string	
AssistedMovementSetRouteProperties	c	TASK	0xD5002D78B7162E1B		route:string,props:integer	
Atan	c	MISC	0xA9D1795CD5043663	number	p0:number	
Atan2	c	MISC	0x8927CBF9D22261A4	number	p0:number,p1:number	
AttachCamToEntity	c	CAM	0xFEDB7D269E8C60E3		cam:Cam,entity:Entity,xOffset:number,yOffset:number,zOffset:number,isRelative:boolean	
AttachCamToPedBone	c	CAM	0x61A3DBA14AB7F411		cam:Cam,ped:Ped,boneIndex:integer,xOffset:number,yOffset:number,zOffset:number,isRelative:boolean	
AttachCamToPedBone_2	c	CAM	0x149916F50C34A40D		cam:Cam,ped:Ped,boneIndex:integer,xRot:number,yRot:number,zRot:number,xOffset:number,yOffset:number,zOffset:number,isRelative:boolean	HardAttachCamToPedBone
AttachCamToVehicleBone	c	CAM	0x8DB3F12A02CAEF72		cam:Cam,vehicle:Vehicle,boneIndex:integer,relativeRotation:boolean,rotX:number,rotY:number,rotZ:number,offX:number,offY:number,offZ:number,fixedDirection:boolean	
